grammar,usage,meaning,examples
〜あっての,N + あっての + N,Owing to; because of X, Y exists,"お客様[きゃくさま]あっての商売[しょうばい]です。 / It's a business that exists owing to the customers. / 家族[かぞく]の支え[ささえ]あっての成功[せいこう]だ。 / It is a success that exists because of my family's support."
〜いかん,N（の） + いかん,Depending on,"検査[けんさ]の結果[けっか]いかんで、手術[しゅじゅつ]するかどうか決める[きめる]。 / Depending on the test results, we will decide whether to operate or not."
〜いかんにかかわらず / 〜いかんによらず,N（の） + いかんにかかわらず,Regardless of,"理由[りゆう]のいかんにかかわらず、遅刻[ちこく]は認め[みとめ]られない。 / Regardless of the reason, being late will not be permitted."
〜う(意向形)が〜まいが,V-volitional + が + V-ru + まいが,Whether A or not A,"雨[あめ]が降ろう[ふろう]が降る[ふる]まいが、試合[しあい]は行い[おこない]ます。 / Whether it rains or not, the match will be held. / 人[ひと]が何[なに]を言おう[いおう]が言う[いう]まいが、私[わたし]は気[き]にしない。 / Whether people say anything or not, I don't care."
〜う(意向形)にも〜ない,V-volitional + にも + V-potential-negative,Even if I want to, I cannot,"お金[かね]がなくて、買おう[かおう]にも買え[かえ]ない。 / I have no money, so even if I wanted to buy it, I couldn't."
〜かぎりだ,Adj / na-Adj-な + かぎりだ,I feel extremely... (expresses strong emotion),"このような賞[しょう]をいただき、嬉しい[うれしい]かぎりです。 / Receiving such an award, I feel extremely happy. / 友達[ともだち]が遠く[とおく]へ引っ越す[ひっこす]のは寂しい[さびしい]かぎりだ。 / It is extremely lonely that my friend is moving far away."
〜がてら,N / V-masu stem + がてら,While... (taking the opportunity to do B while doing A),"散歩[さんぽ]がてら、スーパーに牛乳[ぎゅうにゅう]を買い[かい]に行っ[いっ]た。 / While taking a walk, I took the opportunity to go to the supermarket to buy milk."
〜が早いか,V-ru / V-た + が早いか[はやいか],As soon as; no sooner than,"授業[じゅぎょう]のベルが鳴る[なる]が早いか、生徒[せいと]たちは教室[きょうしつ]を飛び出し[とびだし]た。 / As soon as the class bell rang, the students flew out of the classroom."
〜からある / 〜からの,Number/Amount + からある + N,As much as; as many as (emphasizes a large amount),"そのデモには10万人[じゅうまんにん]からの人[ひと]が参加[さんか]した。 / As many as 100,000 people participated in the demonstration. / 50キロからある荷物[にもつ]を運ぶ[はこぶ]のは無理[むり]だ。 / It is impossible to carry luggage weighing as much as 50 kilos."
〜きらいがある,V-ru / Nの + きらいがある,To have a tendency to (negative tendency),"彼[かれ]は物事[ものごと]を悲観的[ひかんてき]に考える[かんがえる]きらいがある。 / He has a tendency to think about things pessimistically."
〜極まる / 〜極まりない,na-Adj / N + 極まる[きわまる] / 極まりない[きわまりない],Extremely; to the utmost limit,"こんな夜中[よなか]に電話[でんわ]してくるなんて、非常識[ひじょうしき]極まりない。 / Calling in the middle of the night like this is extremely lacking in common sense."
〜ごとき / 〜ごとく,Nの + ごとき / ごとく,Like; as if (literary),"光[ひかり]のごとき速さ[はやさ]で走る[はしる]。 / To run with a speed like light. / 私[わたし]ごときが口出し[くちだし]することではない。 / It is not something someone like me should interfere in."
〜こととて,V (plain) / Nの + こととて,Because; since (formal/apologetic),"急[きゅう]なこととて、何の[なんの]おもてなしもできず申し訳[もうしわけ]ありません。 / Because it was sudden, I am sorry we couldn't offer any hospitality."
〜ことなしに,V-ru + ことなしに,Without doing,"彼[かれ]の協力[きょうりょく]を得る[える]ことなしに、この計画[けいかく]の成功[せいこう]はあり得ない[えない]。 / Without obtaining his cooperation, the success of this plan is impossible."
〜始末だ,V-ru / V-た / V-ている + 始末[しまつ]だ,End up doing; to such a bad state,"彼[かれ]は借金[しゃっきん]を繰り返し[くりかえし]、ついには家[いえ]まで失う[うしなう]始末[しまつ]だ。 / He repeated borrowing money, and ended up in a state where he even lost his house."
